question_text,question_tokens,predicted_parametric_answers,answer,Unnamed: 0
where is the matrix located in the osteon,"['where', 'is', 'the', 'matrix', 'located', 'in', 'the', 'osteon']",haversian canal, haversian canal,4844
where is the mediastinum located in the human body,"['where', 'is', 'the', 'mediastinum', 'located', 'in', 'the', 'human', 'body']",within the thorax, within the thorax,1986
where is the most gold in the world stored,"['where', 'is', 'the', 'most', 'gold', 'in', 'the', 'world', 'stored']",united states, United States,3725
where is the most lightning strikes in the world,"['where', 'is', 'the', 'most', 'lightning', 'strikes', 'in', 'the', 'world']",near the small village of kifuka in the mountains of eastern democratic republic of the congo, near the small village of Kifuka in the mountains of eastern Democratic Republic of the Congo,2429
where is the most poverty in the uk,"['where', 'is', 'the', 'most', 'poverty', 'in', 'the', 'uk']",wales, Wales,5213
where is the movie we are marshall based on,"['where', 'is', 'the', 'movie', 'we', 'are', 'marshall', 'based', 'on']",marshall university thundering herd," It depicts the aftermath of the 1970 plane crash that killed 37 football players on the Marshall University Thundering Herd football team , along with five coaches , two athletic trainers , the athletic director , 25 boosters , and a crew of five .",2752
where is the national college championship game played,"['where', 'is', 'the', 'national', 'college', 'championship', 'game', 'played']",mercedes benz stadium in atlanta georgia, Mercedes - Benz Stadium,5198
where is the natural bridge located in virginia,"['where', 'is', 'the', 'natural', 'bridge', 'located', 'in', 'virginia']",rockbridge county virginia," Rockbridge County , Virginia",949
where is the new england patriots stadium located,"['where', 'is', 'the', 'new', 'england', 'patriots', 'stadium', 'located']",foxborough massachusetts," Foxborough , Massachusetts",2342
where is the new not going out filmed,"['where', 'is', 'the', 'new', 'not', 'going', 'out', 'filmed']",, Pinewood Studios,2203
where is the new tv series yellowstone filmed,"['where', 'is', 'the', 'new', 'tv', 'series', 'yellowstone', 'filmed']",the chief joseph ranch in darby montana," Darby , Montana",1825
where is the nile river located on the world map,"['where', 'is', 'the', 'nile', 'river', 'located', 'on', 'the', 'world', 'map']",northeastern africa, northeastern Africa,1564
where is the origin of the orange river,"['where', 'is', 'the', 'origin', 'of', 'the', 'orange', 'river']",, Thaba Putsoa,4776
where is the original statue of david in italy,"['where', 'is', 'the', 'original', 'statue', 'of', 'david', 'in', 'italy']",florence s galleria dell accademia, Florence 's Galleria dell'Accademia,221
where is the pro football hall of fame located,"['where', 'is', 'the', 'pro', 'football', 'hall', 'of', 'fame', 'located']",george halas dr nw canton ohio," 2121 George Halas Dr NW , Canton , Ohio",1373
where is the promised land in the bible,"['where', 'is', 'the', 'promised', 'land', 'in', 'the', 'bible']",from the river of egypt, from the River of Egypt to the Euphrates river,5245
where is the quarter panel located on a car,"['where', 'is', 'the', 'quarter', 'panel', 'located', 'on', 'a', 'car']",between a rear door or only door on each side for two door models and the trunk boot and typically wraps around the wheel well, between a rear door ( or only door on each side for two - door models ) and the trunk ( boot ) and typically wraps around the wheel well,1392
where is the rachel maddow show broadcast from,"['where', 'is', 'the', 'rachel', 'maddow', 'show', 'broadcast', 'from']",studio a at the nbc studios rockefeller plaza in new york," NBC Studios , 30 Rockefeller Plaza in New York",5498
where is the rose hall great house located,"['where', 'is', 'the', 'rose', 'hall', 'great', 'house', 'located']",montego bay jamaica," Montego Bay , Jamaica",5086
where is the setting for game of thrones,"['where', 'is', 'the', 'setting', 'for', 'game', 'of', 'thrones']",westeros and essos, the fictional continents of Westeros and Essos,4926
where is the show lost in space filmed,"['where', 'is', 'the', 'show', 'lost', 'in', 'space', 'filmed']",vancouver british columbia," Vancouver , British Columbia",5549
where is the super bowl being played at this year,"['where', 'is', 'the', 'super', 'bowl', 'being', 'played', 'at', 'this', 'year']",minneapolis minnesota," U.S. Bank Stadium in Minneapolis , Minnesota",392
where is the super bowl halftime show held,"['where', 'is', 'the', 'super', 'bowl', 'halftime', 'show', 'held']",you s bank stadium in minneapolis minnesota, U.S. Bank Stadium,575
where is the thalmus located in the brain,"['where', 'is', 'the', 'thalmus', 'located', 'in', 'the', 'brain']",greek chamber, dorsal part of the diencephalon,958
where is the trump tower in new york,"['where', 'is', 'the', 'trump', 'tower', 'in', 'new', 'york']",fifth avenue between th and th streets in midtown manhattan new york city," 721 -- 725 Fifth Avenue between 56th and 57th Streets in Midtown Manhattan , New York City",3327
where is the tv show get up filmed,"['where', 'is', 'the', 'tv', 'show', 'get', 'up', 'filmed']",new york city, New York City,5536
where is the umbilical cord attached to the mom,"['where', 'is', 'the', 'umbilical', 'cord', 'attached', 'to', 'the', 'mom']",placental mammals the umbilical cord also called the navel string birth cord or funiculus umbilicalis is a conduit between the developing embryo or fetus and the placenta, placenta,1198
where is the university of new mexico located,"['where', 'is', 'the', 'university', 'of', 'new', 'mexico', 'located']",albuquerque," Albuquerque , New Mexico",1386
where is the us embassy in mexico located,"['where', 'is', 'the', 'us', 'embassy', 'in', 'mexico', 'located']",paseo de la reforma colonia cuauht moc mexico city," Paseo de la Reforma , Colonia Cuauhtémoc , Mexico City",2762
where is the uss west virginia battleship located,"['where', 'is', 'the', 'uss', 'west', 'virginia', 'battleship', 'located']",newport news virginia," Newport News , Virginia",1058
where is the walk of fame in california,"['where', 'is', 'the', 'walk', 'of', 'fame', 'in', 'california']",blocks of hollywood boulevard and three blocks of vine street in hollywood california," along 15 blocks of Hollywood Boulevard and three blocks of Vine Street in Hollywood , California",2532
where is the weg being held this year,"['where', 'is', 'the', 'weg', 'being', 'held', 'this', 'year']",mill spring north carolina," Mill Spring , North Carolina",5369
where is tigris and euphrates river on the map,"['where', 'is', 'tigris', 'and', 'euphrates', 'river', 'on', 'the', 'map']",western asia, in Western Asia,611
where was bring it on in it to win it filmed,"['where', 'was', 'bring', 'it', 'on', 'in', 'it', 'to', 'win', 'it', 'filmed']",universal orlando resort in orlando united states," Universal Orlando Resort in Orlando , United States",4982
where was chitty chitty bang bang car made,"['where', 'was', 'chitty', 'chitty', 'bang', 'bang', 'car', 'made']",hertfordshire, Hertfordshire,4080
where was dances with wolves buffalo scene filmed,"['where', 'was', 'dances', 'with', 'wolves', 'buffalo', 'scene', 'filmed']",south dakota," Triple U Buffalo Ranch outside Fort Pierre , South Dakota",552
where was first huge panorma of haryana built,"['where', 'was', 'first', 'huge', 'panorma', 'of', 'haryana', 'built']",kurukshetra panorama and science centre is located next to shrikrishna museum in thanesar kurukshetra haryana india," next to Shrikrishna Museum in Thanesar , Kurukshetra , Haryana , India about 1.5 km from Kurukshtra railway station",3561
where was keep it in the closet filmed,"['where', 'was', 'keep', 'it', 'in', 'the', 'closet', 'filmed']",salton sea california," Salton Sea , California",2268
where was life or something like it filmed,"['where', 'was', 'life', 'or', 'something', 'like', 'it', 'filmed']",seattle washington," Seattle , Washington",93
where was long way to the top filmed,"['where', 'was', 'long', 'way', 'to', 'the', 'top', 'filmed']",swanston street in melbourne australia," Swanston Street in Melbourne , Australia",3773
where was sherlock holmes hound of the baskervilles filmed,"['where', 'was', 'sherlock', 'holmes', 'hound', 'of', 'the', 'baskervilles', 'filmed']",south wales, South Wales,2017
where was the beach scene in goonies filmed,"['where', 'was', 'the', 'beach', 'scene', 'in', 'goonies', 'filmed']",astoria oregon," Goat Rock State Beach in Sonoma County , California",5756
where was the cowboys with john wayne filmed,"['where', 'was', 'the', 'cowboys', 'with', 'john', 'wayne', 'filmed']",new mexico colorado, New Mexico,4437
where was the famous i have a dream speech given,"['where', 'was', 'the', 'famous', 'i', 'have', 'a', 'dream', 'speech', 'given']",during the march on washington for jobs and freedom on august in which he calls for an end to racism in the united states and called for civil and economic rights delivered to over civil rights supporters from the steps of the lincoln memorial in washington d c," from the steps of the Lincoln Memorial in Washington , D.C.",5921
where was the first american eagle store located,"['where', 'was', 'the', 'first', 'american', 'eagle', 'store', 'located']",twelve oaks mall in novi michigan," Twelve Oaks Mall in Novi , Michigan",142
where was the first capital of belize located,"['where', 'was', 'the', 'first', 'capital', 'of', 'belize', 'located']",belmopan, Belmopan,2616
where was the first oil well drilled in oklahoma,"['where', 'was', 'the', 'first', 'oil', 'well', 'drilled', 'in', 'oklahoma']",atoka county choctaw nation indian territory," Atoka County , Choctaw Nation , Indian Territory",3306
where was the first police laboratory established in the us,"['where', 'was', 'the', 'first', 'police', 'laboratory', 'established', 'in', 'the', 'us']",los angeles police department, Los Angeles Police Department,1199
where was the first printing press established in india,"['where', 'was', 'the', 'first', 'printing', 'press', 'established', 'in', 'india']",goa, Goa,4469
where was the movie dirty dancing filmed at,"['where', 'was', 'the', 'movie', 'dirty', 'dancing', 'filmed', 'at']",lake lure north carolina," Lake Lure , North Carolina",1341
where was the movie fundamentals of caring filmed,"['where', 'was', 'the', 'movie', 'fundamentals', 'of', 'caring', 'filmed']",atlanta georgia," Atlanta , Georgia",2933
where was the movie our souls at night made,"['where', 'was', 'the', 'movie', 'our', 'souls', 'at', 'night', 'made']",colorado springs colorado," Colorado Springs , Colorado",4263
where was the movie sicario day of the soldado filmed,"['where', 'was', 'the', 'movie', 'sicario', 'day', 'of', 'the', 'soldado', 'filmed']",new mexico, New Mexico,1296
where was the movie the thorn birds filmed,"['where', 'was', 'the', 'movie', 'the', 'thorn', 'birds', 'filmed']",southern california, southern California,2421
where was the movie three billboards outside ebbing missouri filmed at,"['where', 'was', 'the', 'movie', 'three', 'billboards', 'outside', 'ebbing', 'missouri', 'filmed', 'at']",sylva north carolina," Sylva , North Carolina",5472
